! Data estimated from:

! Catania AC 1971 J Exp Anal Behav 15:271-287, Fig. 4, p. 277.

A+1A	55.27	2.28
B+1A	24.82	33.14
B+2A	37.42	22.86
A+2A	56.11	2.67
A+3A	59.56	1.52
B+3A	53.87	15.23
B+4A	53.51	22.10
A+4A	80.20	1.14
A+5A	91.27	1.52
B+5A	79.11	16.38
B+6A	85.99	13.71
B+7A	83.73	12.57
B+8A	85.27	10.67
B+9A	89.11	9.90
B+10A	90.27	9.52
B+11A	90.68	10.67
A+11A	99.08	1.90
