! Data estimated from:

! https://scicomp.stackexchange.com/questions/1639

0.05	0.1509	0.0012	0.0675	0.1404	0.0025	0.06	0.151	0.004	0.0500	0.1480	0.0000	0.0030
0.0525	0.152	0.0004	0.0725	0.1207	0.0031	0.065	0.1453	0.0045	0.0525	0.1485	0.0043	0.0025
0.06	0.15	0.0024	0.0765	0.1010	0.0037	0.07	0.1318	0.0047	0.0550	0.1488	0.0037	0.0015
0.0675	0.138	0.0058	0.0785	0.0813	0.0037	0.075	0.1059	0.0056	0.0600	0.1477	0.0062	0.0014
0.075	0.1084	0.013	0.0795	0.0609	0.0031	*	*	*	0.0650	0.1453	0.0080	0.0012
*	*	*	0.0797	0.0505	0.0031	*	*	*	0.0700	0.1398	0.0099	0.0012
