!x y1 y2 y3 y4 y5
353.23 -4 -2 2 6 11
354.01 -7 -2 -8 9 5
354.80 1 0 -3 3 9
355.59 -1 -2 -3 6 3
356.37 1 -1 7 16 11
357.16 -4 -2 -3 6 11
357.94 4 -3 2 3 7
358.73 1 0 4 6 7
359.51 -4 -2 7 6 7
360.30 -1 -1 -1 3 9
361.08 -1 0 -3 6 13
361.87 -4 0 4 6 3
362.66 -1 -2 7 9 9
363.44 -1 -2 2 6 11
364.23 -7 2 -1 -4 9
365.01 -4 -2 -3 3 11
365.80 -1 0 4 9 11
366.58 -4 -2 -3 9 11
367.37 -1 -3 2 -1 16
368.15 -7 -1 -1 6 5
368.93 -1 -3 -3 16 18
369.72 7 1 -1 13 13
370.50 -1 0 4 -1 13
371.29 1 -1 4 9 13
372.07 -1 -2 4 13 22
372.86 -7 -1 4 9 18
373.64 1 1 4 -4 24
374.43 -1 -1 4 9 22
375.21 -4 -2 2 9 28
375.99 -4 -1 -1 9 28
376.78 1 0 7 13 28
377.56 -7 -1 7 13 34
378.34 1 1 4 13 41
379.13 1 2 9 3 41
379.91 -4 2 9 6 37
380.70 -1 1 7 6 43
381.48 1 0 7 6 49
382.26 -1 0 9 9 51
383.05 -1 0 9 9 47
383.83 -7 1 9 16 55
384.61 -1 1 4 16 62
385.40 7 0 12 9 68
386.18 7 1 9 9 68
386.96 -1 -2 7 13 62
387.74 1 -2 9 9 74
388.53 4 3 12 6 85
389.31 -1 2 14 16 89
390.09 4 -1 12 13 91
390.88 4 1 12 19 93
391.66 1 4 19 9 87
392.44 4 2 17 22 114
393.22 7 2 22 19 121
394.00 -1 1 17 19 129
394.79 -1 5 17 16 146
395.57 1 4 29 19 184
396.35 7 4 24 26 200
397.13 4 5 35 32 247
397.92 7 8 47 39 316
398.70 10 8 80 62 494
399.48 27 10 211 171 1280
400.26 91 33 791 597 4860
401.04 217 73 2146 1620 13789
401.82 228 77 2285 1712 14863
402.61 69 29 662 511 4306
403.39 21 19 150 125 975
404.17 7 17 65 62 465
404.95 10 15 47 39 310
405.73 10 16 35 36 228
406.51 7 17 29 29 175
407.29 4 18 19 16 135
408.07 1 19 14 16 102
408.85 4 18 12 22 89
409.64 7 21 4 16 74
410.42 7 21 4 9 60
411.20 4 19 14 6 53
411.98 4 19 2 13 41
412.76 10 21 2 6 41
413.54 4 21 4 -1 30
414.32 -1 24 12 16 37
415.10 7 21 -1 13 30
415.88 15 20 4 16 30
416.66 -1 20 2 13 26
417.44 7 22 9 16 26
418.22 4 20 4 3 28
419.00 4 18 4 6 26
419.78 -1 21 4 3 26
420.56 10 17 4 9 26
421.34 1 17 2 19 32
422.12 7 19 2 13 32
422.90 -4 20 4 16 26
423.68 1 16 4 13 32
424.46 10 16 4 19 30
425.24 4 17 2 9 32
426.02 4 18 4 13 30
426.80 -1 12 -1 16 32
427.57 -4 10 -3 16 41
428.35 1 13 4 13 37
429.13 1 12 2 16 43
429.91 7 14 -1 22 45
430.69 4 9 -1 16 55
431.47 -1 11 4 19 51
432.25 -7 10 9 16 49
433.03 7 8 7 19 55
433.81 1 11 4 26 70
434.58 -1 9 4 19 74
435.36 4 9 4 26 79
436.14 4 6 9 22 93
436.92 -4 6 4 26 100
437.70 1 5 14 22 114
438.48 -1 6 9 29 118
439.25 1 6 14 32 137
440.03 -7 4 7 22 146
440.81 -1 5 7 32 173
441.59 -1 5 7 36 188
442.36 10 6 9 36 209
443.14 4 6 7 39 240
443.92 1 7 9 42 280
444.70 1 6 12 39 312
445.47 -1 3 2 46 362
446.25 -1 3 7 55 423
447.03 1 3 9 55 482
447.81 -4 4 17 65 568
448.58 1 3 9 62 654
449.36 -1 4 9 65 761
450.14 1 5 17 72 887
450.92 4 5 17 75 1051
451.69 -1 4 9 79 1194
452.47 -1 3 9 95 1391
453.25 4 3 14 95 1639
454.02 -7 3 14 108 1895
454.80 7 3 9 118 2149
455.58 4 3 14 118 2489
456.35 10 5 27 135 2861
457.13 -4 1 17 141 3208
457.90 4 2 12 151 3665
458.68 4 5 22 158 4142
459.46 -1 4 22 154 4669
460.23 13 2 17 187 5209
461.01 1 4 17 194 5887
461.78 1 4 17 201 6607
462.56 4 4 24 214 7294
463.34 7 4 24 237 8063
464.11 1 4 17 237 8959
464.89 -1 2 14 273 9877
465.66 -1 2 22 290 10782
466.44 15 6 19 316 11734
467.21 4 2 22 343 12809
467.99 1 6 22 349 13968
468.76 4 4 24 359 15165
469.54 4 3 22 405 16339
470.31 4 1 19 428 17492
471.09 1 4 19 432 18815
471.86 10 2 24 491 20152
472.64 10 5 24 517 21349
473.41 13 2 24 554 22708
474.19 1 4 22 574 23935
474.96 7 2 24 610 25142
475.74 10 2 32 656 26383
476.51 7 5 29 669 27555
477.29 4 3 29 715 28628
478.06 15 5 37 772 29728
478.84 10 6 32 805 30745
479.61 13 5 32 834 31637
480.38 10 4 29 890 32601
481.16 7 6 32 940 33196
481.93 10 2 37 1012 33794
482.71 7 3 35 1062 34359
483.48 4 6 37 1105 34739
484.25 7 5 37 1138 34876
485.03 7 5 35 1210 35254
485.80 7 4 37 1270 35197
