! Data estimated from:

! Machado A, Guilhardi P 2000 J Exp Anal Behav 74:25-54, Fig. 16 (Group DIF),
! p. 45.

3	0.0101	0.000	0.004	0.009
8	0.0238	0.000	0.008	0.000
13	0.0407	0.003	0.025	0.006
18	0.0796	0.028	0.109	0.035
23	0.1377	0.028	0.369	0.054
28	0.3065	0.051	0.734	0.041
33	0.5702	0.048	0.896	0.025
38	0.7928	0.041	0.954	0.016
43	0.9050	0.032	0.971	0.006
48	0.9450	0.019	0.962	0.003
53	0.9750	0.000	0.965	0.003
58	0.9850	0.000	0.954	0.000

