! Data estimated from Porter JH, Allen JD, Arazie R. 1974. Physiol Behav
! 13:627-632, Fig. 1, p. 629.

0.25	30.30	33.12	42.88	8.31
0.5	49.12	52.12	63.57	13.36
1	67.18	69.06	72.81	23.31
2	75.48	68.73	73.61	32.32
4	66.34	64.27	62.40	20.01
