0.881327 0 2 1.5
8.37056 0 1 1
0 4.17445 0 0.5
6.24398 0 3 2
3.43646 0 4 3
0 8.29733 0 0.5
0 13.0124 1 1
0 18.7693 0 0.5
7.64079 20 1 1
1.58957 20 2 1.5
5.44359 20 3 2
3.88137 14.5 2 1.5
2.67545 13.5 3 2
3.46718 12.5 4 3
