Republic_of_the_Congo	1156	934	1000	1128	1440	1812	2117	2220	2848	2281	2965	3414	3756	3720	3623	2348	2107	2227	2716	2509
Honduras	1081	1121	1122	1145	1204	1297	1420	1572	1728	1777	1891	2074	2129	2088	2190	2286	2325	2436	2490	2529
Laos	317	318	329	397	460	526	662	787	969	1032	1187	1397	1566	1814	1983	2124	2308	2437	2552	2603
Venezuela	4821	4964	3778	3266	4312	5422	6647	8538	11079	9558	11158	10934	12688	8693	7107	4097	3676	3807	3530	2624
Iran	5777	5125	2021	2353	2765	3292	3864	5046	5891	6017	6984	8322	5548	5561	5910	5172	5731	6005	4055	2909
Angola	771	731	988	1122	1438	2128	2909	3493	4554	3630	4089	5175	5700	5881	6062	4681	3936	4629	3651	2926
Djibouti	1088	1107	1121	1160	1213	1271	1359	1478	1692	1722	1837	2039	2190	2315	2471	2653	2804	2926	3038	3173
Vanuatu	1422	1317	1313	1542	1743	1825	1985	2309	2541	2520	2719	3008	2935	2940	2948	2772	2844	3159	3256	3187
Egypt	1637	1566	1355	1252	1196	1331	1564	1862	2271	2579	2923	3077	3569	3584	3705	3934	3862	2593	2710	3214
Vietnam	499	513	547	610	757	873	996	1152	1447	1481	1628	1950	2198	2370	2567	2582	2720	2958	3216	3439
Palestine	1413	1276	1103	1197	1351	1461	1481	1564	1913	2062	2406	2712	2889	3123	3159	3084	3326	3407	3353	3443
Philippines	1087	1004	1050	1063	1137	1261	1471	1765	2012	1924	2237	2473	2721	2903	2996	3039	3108	3153	3280	3512
Bhutan	815	825	874	1023	1142	1311	1379	1666	2079	1934	2265	2728	2825	2842	2760	2980	3071	3344	3607	3547
Tunisia	2322	2365	2461	2897	3265	3351	3537	3964	4520	4333	4343	4472	4346	4420	4511	4061	3890	3657	3661	3556
Bolivia	995	949	905	908	969	1037	1227	1384	1729	1769	1973	2369	2636	2938	3115	3069	3111	3389	3588	3591
Morocco	1487	1490	1573	1914	2163	2233	2427	2760	3189	3163	3135	3367	3225	3464	3528	3236	3235	3401	3616	3623
Ukraine	664	785	885	1056	1375	1840	2319	3101	3945	2557	2983	3587	3874	4051	3120	2135	2201	2654	3119	3693
Federated_States_of_Micronesia	2146	2215	2233	2270	2225	2330	2367	2412	2484	2657	2826	2960	3108	3013	3034	3015	3190	3547	3933	4001
Eswatini	1819	1599	1474	2236	2797	3175	3262	3402	3214	3480	4264	4603	4628	4326	4134	3766	3514	4031	4227	4032
Sri_Lanka	1065	1017	1062	1163	1260	1478	1698	1929	2411	2472	2894	3320	3446	3737	3970	4058	4150	4401	4360	4083
Jordan	1726	1795	1890	1960	2128	2313	2600	2774	3415	3619	3915	4152	4393	4484	4262	4070	4009	4079	4152	4166
Indonesia	870	834	1003	1186	1280	1404	1766	2064	2417	2469	3177	3690	3740	3667	3533	3373	3605	3886	3946	4193
El_Salvador	1978	2051	2107	2198	2274	2434	2651	2815	2964	2890	3017	3305	3471	3555	3639	3761	3870	3986	4146	4280
Mongolia	473	521	566	639	790	989	1322	1616	2109	1688	2602	3702	4281	4294	4081	3800	3575	3613	4078	4309
Moldova	448	506	569	680	894	1031	1179	1526	2103	1891	2428	2930	3031	3307	3315	2716	2858	3423	4121	4377
Kosovo	1506	1704	1807	2206	2275	2318	2400	2866	3025	2878	3013	3562	3397	3699	3920	3554	3746	3991	4390	4433
Tonga	2067	1820	1829	2015	2289	2582	2865	2920	3361	3040	3561	4015	4153	3986	3963	3927	3792	4141	4330	4435
Algeria	1948	1919	1958	2305	2840	3258	3691	4208	5215	4262	4941	5946	6058	5998	6109	4692	4427	4554	4568	4453
Cape_Verde	1690	1875	2015	2524	2839	3091	3174	3565	4190	3919	3819	4259	3958	4175	4178	3561	3760	3966	4166	4466
Samoa	1552	1558	1639	1927	2342	2704	2850	3121	3734	3349	3658	3969	4089	4183	4153	4261	4325	4496	4391	4472
Armenia	621	692	779	923	1180	1628	2128	3079	3913	2912	3122	3417	3576	3732	3889	3529	3524	3869	4196	4597
Guatemala	1564	1662	1805	1860	1969	2176	2369	2599	2929	2714	2910	3265	3376	3522	3778	3994	4172	4452	4486	4647
Georgia	764	820	875	1035	1338	1683	2052	2700	3420	2891	3270	4101	4518	4711	4834	4090	4142	4420	4801	4739
Namibia	2192	1945	1811	2611	3458	3748	3897	4354	4181	4324	5390	5842	6009	5473	5449	4888	4455	5211	5381	4798
Azerbaijan	656	675	761	880	1040	1567	2453	3814	5564	4965	5881	7239	7546	7927	7939	5525	3898	4218	4760	4841
Marshall_Islands	2247	2427	2657	2625	2634	2695	2781	2905	2794	2893	3043	3241	3438	3596	3652	3681	4144	4548	4851	5275
Paraguay	1676	1578	1312	1378	1694	1858	2285	2989	4054	3624	4330	5302	5153	5893	6065	5360	5265	5608	5703	5302
Albania	1129	1283	1428	1830	2371	2674	2973	3595	4371	4114	4098	4440	4249	4416	4585	3954	4124	4543	5288	5395
Jamaica	3511	3530	3710	3586	3856	4241	4495	4829	5134	4507	4894	5333	5448	5238	5106	5205	5183	5413	5730	5782
Bosnia_and_Herzegovina	1481	1540	1785	2254	2699	2904	3307	4073	4985	4711	4634	5090	4773	5142	5253	4663	4875	5230	5859	5867
Fiji	2275	2234	2463	3073	3597	3940	4051	4405	4554	3682	4011	4803	5022	5277	5622	5397	5658	6050	6270	6079
Belize	4334	4410	4564	4705	4908	5031	5443	5687	5645	5337	5393	5539	5684	5918	6086	6153	6153	6104	6053	6181
Ecuador	1405	1824	2097	2358	2633	2961	3298	3534	4258	4111	4579	5210	5682	6144	6422	5975	5908	6221	6293	6199
Colombia	2535	2461	2424	2314	2827	3494	3837	4834	5622	5331	6499	7518	8237	8410	8312	6337	6037	6577	6924	6540
South_Africa	3382	2964	2778	4191	5393	6008	6251	6752	6338	6538	8118	8785	8186	7432	6952	6223	5721	6647	6956	6583
Guyana	2017	2024	2093	2144	2233	2306	2552	2982	3330	3457	3837	4403	5360	5477	5403	5580	5797	6104	6121	6594
Botswana	3290	3099	3006	4088	4744	5195	5143	5372	5346	4938	6042	7081	6393	6437	6844	5870	6412	6705	6948	6679
Suriname	2902	2466	3078	3550	4034	4773	5546	6123	7267	7865	8734	8756	9767	9937	9967	9036	5762	6159	6772	6716
North_Macedonia	1878	1840	1974	2441	2810	3120	3440	4204	5027	4799	4837	5419	5053	5629	5933	5264	5605	5971	6720	6720
Belarus	1080	1287	1530	1880	2459	3232	3979	4897	6591	5351	6033	6486	6951	7995	8333	5954	5038	5785	6358	6838
Peru	1910	1910	1998	2148	2405	2678	3131	3634	4287	4279	5201	5928	6639	6920	6881	6436	6454	6992	7211	7252
Serbia	1302	1734	2291	3010	3486	3695	4399	5879	7087	6168	5674	6810	6015	6753	6599	5589	5765	6293	7252	7417
Thailand	2008	1893	2096	2359	2660	2893	3369	3973	4378	4213	5077	5493	5861	6168	5952	5838	5995	6594	7296	7811
Gabon	4477	4066	4210	5016	5838	6943	7271	8652	10418	7857	8933	10893	9903	9761	9747	7453	7082	7370	8199	8111
Saint_Vincent_and_the_Grenadines	3973	4285	4518	4710	5082	5354	5934	6573	6740	6564	6613	6545	6686	6988	7028	7155	7390	7643	8002	8232
Equatorial_Guinea	1886	2617	3106	5374	8188	10816	12744	15785	22832	16579	17167	21476	21570	20253	19276	11219	9200	9621	10130	8356
Dominica	4681	4775	4680	4826	5165	5127	5497	5940	6463	6904	6981	7160	6995	7153	7389	7596	8089	7507	7981	8466
Dominican_Republic	2894	3007	3158	2461	2541	4008	4189	4803	5195	5151	5689	6063	6275	6414	6806	7140	7521	7875	8341	8595
Turkmenistan	1833	2503	3107	4039	4966	5943	7321	8780	7189	6671	6675	8285	9206	9148	9925	7794	7306	7691	8128	8612
Lebanon	3939	3955	4236	4326	4625	4630	4666	5162	5958	7150	7695	7914	8500	8255	7665	7803	8173	8680	9226	8808
Montenegro	1597	1894	2081	2746	3380	3680	4430	5985	7397	6746	6694	7328	6595	7199	7406	6534	7050	7820	8873	8925
Brazil	3752	3164	2844	3078	3648	4806	5906	7374	8863	8641	11341	13326	12465	12407	12231	8893	8813	10056	9282	9011
Turkey	4219	3088	3586	4711	5985	7331	7921	9676	10946	8979	10545	11214	11605	12497	12097	11011	10890	10630	9728	9144
Kazakhstan	1229	1491	1658	2068	2874	3771	5292	6771	8514	7165	9070	11634	12387	13891	12807	10511	7715	9248	9813	9813
Bulgaria	1625	1797	2091	2711	3370	3870	4477	5815	7162	6878	6754	7872	7454	7704	7925	7096	7594	8410	9485	9910
Argentina	8639	8085	2998	3761	4314	5164	5976	7316	9147	8338	10413	12788	13890	14489	13209	14895	12773	14618	11786	9942
China	951	1045	1141	1282	1500	1751	2095	2691	3447	3813	4500	5553	6283	7040	7646	8034	8063	8760	9849	10170
Mexico	7468	7902	7935	7390	7807	8626	9457	10064	10438	8347	9633	10554	10631	11099	11272	9915	9000	9543	9971	10260
Libya	7625	6693	3956	4986	6180	8739	10561	11801	14763	10196	12478	8132	14728	12026	9168	7707	7818	10414	11774	10526
Grenada	5057	5046	5192	5641	5722	6658	6673	7227	7844	7333	7340	7300	7434	7760	8334	9056	9572	10099	10419	10779
Malaysia	4348	4189	4442	4740	5245	5678	6351	7481	8766	7544	9047	10398	10807	10852	11165	9663	9523	9965	11080	11228
Mauritius	4158	4081	4253	5073	5702	5590	5773	6663	8138	7417	8108	9321	9416	9767	10366	9508	9968	10844	11643	11408
Russia	1898	2250	2547	3191	4396	5698	7416	9757	12464	9160	11432	14310	15285	15913	13984	9232	8689	10665	11183	11465
Saint_Lucia	5843	5553	5558	6052	6491	6862	7614	7944	8462	8249	8675	9113	9231	9544	10006	10293	10592	11281	11586	11733
Costa_Rica	3941	4042	4123	4228	4484	4756	5309	6194	6994	6879	8269	9271	10107	10765	10854	11635	11987	12185	12429	12691
Romania	1668	1801	2108	2672	3488	4609	5745	8274	10446	8540	8391	9547	8919	9482	10025	8952	9379	10717	12466	12928
Chile	5100	4608	4480	4825	6184	7558	9410	10447	10760	10177	12723	14560	15316	15740	14583	13494	13723	15004	15755	14552
Croatia	5053	5363	6215	8192	9718	10452	11506	13765	15897	14408	13710	14659	13460	14002	14041	12135	12632	13649	15139	15220
Maldives	2967	2780	2952	3691	4238	3960	5269	6128	7338	7451	8087	8078	8720	9766	10787	11839	12436	13374	14762	15374
Poland	4485	4988	5206	5700	6685	8024	9032	11253	13999	11532	12511	13777	13011	13550	14183	12545	12370	13820	15504	15695
Palau	7818	8269	8369	7889	8424	9326	9766	10225	10581	9970	10173	10978	12320	12917	13954	16037	17181	16433	16341	15992
Panama	4261	4244	4325	4470	4808	5146	5598	6350	7369	7807	8333	9654	11063	12273	13222	14102	14867	15731	16181	16526
Hungary	4619	5270	6645	8409	10292	11211	11483	13927	15762	13066	13199	14214	12970	13693	14279	12700	13083	14606	16421	16782
Trinidad_and_Tobago	6546	7046	7163	8931	10442	12472	14280	16766	21449	14777	16957	19301	20326	21208	21799	19723	17221	17369	17678	17044
Uruguay	7432	6804	4441	3942	4477	5663	6377	7623	9857	10232	12944	15341	16325	18272	18110	16792	16545	18627	18645	17686
Latvia	3343	3554	4121	5122	6343	7570	9690	14080	16435	12243	11317	13371	13787	14927	15686	13728	14259	15626	17807	17828
Antigua_and_Barbuda	11913	11413	11562	12089	12957	14295	16122	18196	18842	16580	15342	15016	15693	15020	15393	15809	16131	16328	17451	17851
Oman	9266	9088	9285	9793	11043	13563	15946	17716	25061	19236	21678	23519	24129	23328	23220	18925	17020	17732	19885	19069
Greece	12268	12579	14185	18535	22015	22608	24859	28900	32174	29829	26743	25437	21845	21712	21554	18024	17906	18552	19751	19141
Seychelles	7579	7663	8432	8525	10177	11093	12014	12156	11480	9707	10805	11647	12000	14762	15190	15376	16721	17738	18603	19367
Slovakia	3840	3982	4627	6342	8040	9142	10700	14375	18075	16591	16926	18527	17520	18285	18734	16400	16573	17592	19508	19397
Lithuania	3289	3526	4142	5498	6686	7860	9240	12309	14987	11851	12007	14397	14355	15749	16580	14263	15012	16867	19195	19624
